id,title,releaseDate,seasonCount,rating,genres,description,duration,tagline,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,created_by,production_companies,director,writer,top_cast
1000358484,Tom Clancy's Jack Ryan,2018-08-31,4.0,TV-MA,"Action,Crime,Drama,Thriller",John Krasinski takes over the mantle as young CIA analyst Jack Ryan for the Amazon series.,60.0,,66.0,42,Generally favorable,66,363,Generally favorable,,"Genre Arts,Push, Boot.,Platinum Dunes,Skydance Television,Paramount Television,Amazon Studios,Carlton Cuse Productions,Amazon Studios,Amazon Prime Video,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,PixStone Images,4DMax,Captured Dimensions,El Ranchito,Goodbye Kansas Studios,Hybride Technologies,Incessant Rain Studios,Monsters Aliens Robots Zombies,Outpost VFX,Rodeo FX,SSVFX",,"Carlton Cuse,Graham Roland","John Krasinski,Wendell Pierce,Michael Kelly,Abbie Cornish,Betty Gabriel,John Hoogenakker,Adam Bernett,Kevin Kent,Noomi Rapace,Nina Hoss,Ali Suliman,Jordi Mollà,Peter Guinness,Dina Shihabi,Francisco Denis,Alexej Manvelov,Cristina Umaña,James Cosmo,Jovan Adepo,Eduar Salas"
1000368243,Murder Before Evensong,2025-09-29,1.0,TV-14,"Crime,Mystery","Set in 1988, Canon Daniel Clement (Matthew Lewis), the Rector of Champton, becomes involved in a murder investigation when a dead body turns up in his church in the mystery series based on the first novel by Reverend Richard Coles.

[Premiered originally in the US on Acorn TV on 29 Sep 2025 and in the UK on Channel 5 on 7 Oct 2025]",,,66.0,7,Generally favorable,0,2,,,"My5,SKY Studios,So Speedy,The Lighthouse,Acorn TV,Channel 5 Television",David Moore,"Richard Coles,Nicholas Hicks-Beach","Matthew Lewis,Amanda Redman,Amit Shah,Adam James,Tamzin Outhwaite,Marion Bailey,Amanda Hadingue,Meghan Treadway,Alexander Delamain,Sam Baker-Jones,Francis Magee,Nina Toussaint-White,Ben Batt,Emma Beattie,David Newman,Thea Beyleveld,Sophie Bloor,Adam Smethurst,Ken Bones,Maggie McCarthy"
1000339662,Dallas (2012),2012-06-13,3.0,TV-14,"Drama,Romance","Based on the Emmy-winning CBS series of the same name, the TNT series follows the lives of J.R. and Sue Ellen's son John Ross and Bobby and Pam's adopted son Christopher, who differ on whether to drill for oil or look for alternative energy sources.",42.0,"They're back. And no, you're not dreaming.",66.0,45,Generally favorable,71,138,Generally favorable,David Jacobs,"Cyntax Productions,Warner Horizon Television,TNT,CNBC-e,Channel 5 Television,Net5,RTL 2,RTL Klub Televízió,Vijftv,Warner Home Video,e2","Steve Robin,Michael M. Robin,Jesse Bochco","Cynthia Cidre,David Jacobs,Robert L. Rovner,Bruce Rasmussen,Aaron Allen,Julia Cohen","Josh Henderson,Jesse Metcalfe,Jordana Brewster,Julie Gonzalo,Brenda Strong,Patrick Duffy,Linda Gray,Mitch Pileggi,Emma Bell,Kevin Page,Marlene Forte,Kuno Becker,Judith Light,Larry Hagman,Ken Kercheval,Juan Pablo Di Pace,Akai Draco,Glenn Morshower,Antonio Jaramillo,Callard Harris"
1000367174,Neon,2023-10-19,1.0,TV-MA,"Comedy,Music",Santi (Tyler Dean Flores) moves to Miami with his best friends Ness (Emma Ferrerira) and Felix (Jordan Mendoza) to pursue his dream to become a reggaeton star in this comedy series from creator Shea Serrano.,30.0,,66.0,8,Generally favorable,0,1,,"Max Searle,Shea Serrano","SB Projects,Netflix,Netflix",Eli Gonda,"Max Searle,Shea Serrano,Brianna Porter,Christopher Eddins,Adriana Caballero","Tyler Dean Flores,Emma Ferreira,Jordan Mendoza,Courtney Taylor,Santiago Cabrera,Jhayco,Alycia Pascual-Pena,Jordana Brewster,Daddy Yankee,Genesis Rodriguez,Génesis Méndez,Gabriella Ivette González Arce,Ricardo Álvarez,Marilyn Pupo,Yaiza Figueroa,Pedro Avilés,Deyaneira Ramos,Yan Carlos Diaz Rivera,Claudia Torres Jardin,Adriel Torres"
1000357604,Class,2016-10-22,1.0,TV-14,"Drama,Sci-Fi","Ram (Fady Elsayed), April (Sophie Hopkins), and Tanya (Vivian Oparah) are students at Coal Hill Academy who discover a secret shared by fellow student Charlie (Greg Austin) and their teacher Miss Quill (Katherine Kelly) in this sci-fi series created by Patrick Ness and set in the Doctor Who universe.",45.0,,66.0,8,Generally favorable,56,20,Mixed or average,,"BBC Cymru Wales,BBC America,BBC Worldwide,BBC America,BBC Worldwide,BBC Three,2 Entertain,2 Entertain,ABC iView,Australian Broadcasting Corporation (ABC),British Broadcasting Corporation (BBC),ONE,Polyband,Space","Edward Bazalgette,Philippa Langdale,Wayne Yip,Julian Holmes",Patrick Ness,"Katherine Kelly,Greg Austin,Jordan Renzo,Fady Elsayed,Sophie Hopkins,Vivian Oparah,Aaron Neil,Pooky Quesnel,Shannon Murray,Paul Marc Davis,Natasha Gordon,Moses Adejimi,Ellie James,Steven Lathwell,Ben Peel,Anna Shaffer,Con O'Neill,Nigel Betts,Pooja Shah,Samuel Rush"
1000346502,Death Comes to Pemberley,2013-12,1.0,TV-14,"Drama,Mystery,Romance","PD James's bestselling sequel to Pride and Prejudice is dramatised in this three part drama featuring Matthew Rhys, Jenna Coleman and Trevor Eve in which the Darcy's are preparing for their annual ball when the Wickham's unexpected arrival brings murder to Pemberley.",60.0,,66.0,17,Generally favorable,74,8,Generally favorable,,"BBC Drama Productions,Far Moor,Origin Pictures,Screen Yorkshire,Masterpiece Theatre,British Broadcasting Corporation (BBC),Public Broadcasting Service (PBS),Yleisradio (YLE)",Daniel Percival,"Jane Austen,Juliette Towhidi,P.D. James","Matthew Rhys,Anna Maxwell Martin,Matthew Goode,Trevor Eve,Jenna Coleman,Tom Ward,Eleanor Tomlinson,James Norton,Nichola Burley,Philip Martin Brown,Joanna Scanlan,Jennifer Hennessy,Lewis Rainer,Tom Canton,Mariah Gale,Louisa-May Parker,Alexander Bradshaw,Royston Mayoh,Kevin Eldon,Oliver Maltman"
1000360221,The Eddy,2020-05-08,1.0,TV-MA,"Drama,Music","The arrival of Elliot Udo's (Andre Holland) teenage daughter Julie (Amandla Stenberg) at his failing Paris jazz club forces him to face his issues in this musical drama series from Damien Chazelle.
",,,66.0,23,Generally favorable,62,29,Generally favorable,Jack Thorne,"Atlantique Productions,Augury,Boku Films,Fifth Season,Fifty Fathoms Productions,Netflix,Netflix,Netflix","Damien Chazelle,Alan Poul,Laïla Marrakchi,Houda Benyamina","Jack Thorne,Rebecca Lenkiewicz,Phillip Howze,Hamid Hlioua,Rachel De-Lahay","André Holland,Joanna Kulig,Leïla Bekhti,Adil Dehbi,Randy Kerber,Ludovic Louis,Damian Nueva,Lada Obradovic,Jowee Omicil,Amandla Stenberg,Léonie Simaga,Vincent Heneine,Elyes Aguis,Alexis Manenti,Benjamin Biolay,Sopico,Hajar Chafik,Noé Stanic,Tahar Rahim,Ouassini Embarek"
1000337701,10 Things I Hate About You,2009-07-07,1.0,TV-PG,Comedy,"From Gil Junger, the director of the smash hit film 10 Things I Hate About You comes the second modern reinvention of the Shakespearean play The Taming of the Shrew.

The comedy revolves around two different sisters who experience romantic turbulence at their high school.

Ned's Declassified School Survival Guide's Lindsey Shaw and Camp Rock's Meaghan Jette Martin play the lead roles in the ABC comedy as Katarina and Bianca Stratford, a nonconforming feminist and a valley girl. Sky High's Nicholas Braun, The War at Home's Kyle Kaplan and Ethan Peck are the reinvented characters in the series. Their characters are Cameron the love smitten classmate, Michael the audio visual geek and Patrick a dark and mysterious student.

10 Things I Hate About You is produced by Prodco, Inc.",30.0,,66.0,9,Generally favorable,63,12,Generally favorable,,"Prodoc Films inc.,ABC Family,AXN,Animax,Disney Channel,Disney+,Disney-ABC Domestic Television,Shout! Factory,VIVA,Walt Disney Television","Gil Junger,Henry Chan","Carter Covington,Karen McCullah,Kirsten Smith,Michael J. Cinquemani,Erin Ehrlich,Robin Schiff,Stefanie Leder,Barry Safchik,Jordon Nardino","Lindsey Shaw,Meaghan Martin,Ethan Peck,Nicholas Braun,Dana Davis,Larry Miller,Chris Zylka,Ally Maki,Kyle Kaplan,Jolene Purdy,Allie Gonino,Suzy Nakamura,Leslie Grossman,Jack Salvatore Jr.,Ashley Jackson,Cody McMains,Kathryn Collins,Benjamin Stone,Justin Lee,Barret Swatek"
1000358450,Condor,2018-06-05,2.0,TV-MA,"Action,Drama,Thriller","Based on James Grady's novel Six Days of the Condor and the 1975 film Three Days of the Condor, CIA analyst Joe Turner (Max Irons) must go on the run when his discovery of a plan that could jeopardize millions of lives causes the death of his colleagues.",60.0,Truth is the first victim.,66.0,7,Generally favorable,70,48,Generally favorable,,"Apophasisunproductions,Audience Network,MGM Television,MGM/UA Television,Paramount Television,Skydance Television,Audience Network,MGM Television,13ème Rue,Amazon Prime Video,Amazon Prime Video,Epix (I),FOX,Fox Premium Series,MagentaTV,Nova Cinema,RTL Crime,RTL+,Raidió Teilifís Éireann (RTÉ),RocketBeans TV,Sky One,Universal Channel,Videoland,WOWOW Prime,Spin VFX",,"Todd Katzberg,Ken Robinson,Jason Smilovic,Lorenzo Semple Jr.,David Rayfiel,James Grady","Max Irons,Kristen Hager,Bob Balaban,Sam McCarthy,Gage Graham-Arbuthnot,William Hurt,Leem Lubany,Angel Bonanni,Eric Johnson,Mira Sorvino,Alexei Bondar,Jonathan Kells Phillips,Rose Rollins,Constance Zimmer,Isidora Goreshter,Toby Leonard Moore,Kristoffer Polaha,Kate Vernon,Katherine Cunningham,Brendan Fraser"
1000339643,Breaking Pointe,2012,2.0,,Reality-TV,The world of professional ballet dancers is explored with the dancers of Ballet West in Salt Lake City.,60.0,,66.0,7,Generally favorable,59,9,Mixed or average,,"BBC Worldwide Productions,The CW Network (The CW)",,,"Allison DeBona,Beckanne Sisk,Madeleine Gardella,Paul Michael Bloodgood,Adam Bloodgood"
1000367197,Lawmen: Bass Reeves,2023-11-05,1.0,TV-MA,"Drama,Western",The anthology drama series created by Chad Feehan spans the life of Bass Reeves (David Oyelowo) from enslavement to becoming first Black U.S. Marshal west of the Mississippi.,45.0,Some legends are true.,66.0,17,Generally favorable,48,14,Mixed or average,,"101 Studios,Bosque Ranch Productions,MTV Entertainment Studios,Yoruba Saxon Productions,Paramount+,Paramount Home Entertainment,Paramount+,Captured Dimensions,Mammal Studios",,Chad Feehan,"David Oyelowo,Lauren E. Banks,Demi Singleton,Forrest Goodluck,Barry Pepper,Dennis Quaid,Grantham Coleman,Donald Sutherland,Sekou Goodson,Saveah Goodson,Sanaya Goodson,Joaquina Kalukango,Lonnie Chavis,Rob Morgan,Justin Hurtt-Dunkley,Riley Looc,Heather Kafka,Bill Dawes,Chris Coy,Tosin Morohunfola"
1000366616,Wednesday,2022-11-23,3.0,TV-14,"Comedy,Crime,Fantasy,Mystery","Wednesday Addams (Jenna Ortega) discovers mysteries in town and about her parents, while learning to control her psychic powers at Nevermore Academy, the boarding school she is sent to after being kicked out of her public high school.",45.0,The wait has been torture.,66.0,57,Generally favorable,70,697,Generally favorable,"Alfred Gough,Miles Millar,Charles Addams","MGM Television,Millar Gough Ink,Tim Burton Productions,Toluca Pictures,MGM Home Entertainment,Netflix,MGM Home Entertainment,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Alter Ego,CoSA VFX,Company 3,Folks VFX,Herne Hill Media,Incessant Rain Studios,Monsters Aliens Robots Zombies,PowerHouse VFX,Rocket Science VFX,Rodeo FX,Scanline VFX,Take 5 Productions,Take 5 VFX,VFX Legion,WeFX",,"Alfred Gough,Miles Millar,Charles Addams","Jenna Ortega,Hunter Doohan,Emma Myers,Joy Sunday,Georgie Farmer,Victor Dorobantu,Moosa Mostafa,Luyanda Unati Lewis-Nyawo,Oliver Watson,Gwendoline Christie,Jamie McShane,Isaac Ordonez,Luis Guzmán,Catherine Zeta-Jones,Christina Ricci,Billie Piper,Evie Templeton,Steve Buscemi,Riki Lindhome,Percy Hynes White"
1000342495,Platinum,2003,1.0,,"Drama,Crime,Music",Coming soon.,60.0,Music is tight. Family is tighter.,66.0,18,Generally favorable,0,1,,,"American Zoetrope,Eye Productions,Greenblatt Janolari Studio,New Regency Productions,Platinum Entertainment Productions,United Paramount Network (UPN)","Kevin Bray,Gloria Muzio,Clement Virgo,John Ridley,Marcus Raboy,Jim Morrison IV","John Ridley,Kevin Arkadie,Stacy A. Littlejohn,Sofia Coppola","Sticky Fingaz,Davetta Sherwood,Patrice Goodman,Bishop Brigante,Kira Clavell,Kia Goodwin,Karen LeBlanc,K.C. Collins,Richard Yearwood,Jason George,Lyriq Bent,Rishma Malik,Wes Williams,Balázs Koós,Steven Pasquale,Lindy Booth,Paulino Nunes,Andrea Davis,MC Lyte,Adam Clark"
